EMRD,gene:proph:179438,prophage,55,Donor & PostFMT Only
FECD,gene:plasmid:114202,likely IS/TE,55,Donor & PostFMT Only
FECD,gene:plasmid:142025,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:121923,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:123352,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:123353,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:123355,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:84615,likely IS/TE,55,Donor & PostFMT Only
YDEI,gene:proph:159061,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:163928,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:163940,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:172451,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:177577,prophage,55,Donor & PostFMT Only
YDEI,gene:proph:182930,prophage,55,Donor & PostFMT Only
CORA,gene:plasmid:24561,plasmid,56,Donor & PostFMT Only
DNAK,gene:plasmid:158140,plasmid,56,Donor & PostFMT Only
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,ICE,4,Donor & PostFMT Only
ERMF,gene:plasmid:141421,plasmid,5,Donor & PostFMT Only
AAC3,gene:plasmid:14303,plasmid,8,Donor & PostFMT Only
AAC3,gene:plasmid:14304,plasmid,8,Donor & PostFMT Only
AAC3,gene:plasmid:158830,plasmid,8,Donor & PostFMT Only
CORA,gene:plasmid:24561,plasmid,8,Donor & PostFMT Only
FECD,gene:plasmid:156052,plasmid,8,Donor & PostFMT Only
ANT6,gene:plasmid:15664,plasmid,9,Donor & PostFMT Only
ERMB,gene:plasmid:136912,plasmid,9,Donor & PostFMT Only
ERMB,gene:plasmid:15542,plasmid,9,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,18,Donor & PostFMT Only
SULII,gene:plasmid:158916,plasmid,19,Donor & PostFMT Only
SULII,gene:plasmid:19743,plasmid,19,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,20,Donor & PostFMT Only
MEFE,gene:plasmid:141426,plasmid,20,Donor & PostFMT Only
MEFE,gene:plasmid:141427,plasmid,20,Donor & PostFMT Only
SILP,gene:plasmid:153906,plasmid,20,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,21,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,24,Donor & PostFMT Only
MEFE,gene:plasmid:141426,plasmid,24,Donor & PostFMT Only
MEFE,gene:plasmid:141427,plasmid,24,Donor & PostFMT Only
MEFE,gene:plasmid:141426,plasmid,25,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,26,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,33,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,35,Donor & PostFMT Only
TETX,gene:plasmid:13200,plasmid,35,Donor & PostFMT Only
TETX,gene:plasmid:13201,plasmid,35,Donor & PostFMT Only
TETX,gene:plasmid:13202,plasmid,35,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,39,Donor & PostFMT Only
ERMX,gene:plasmid:14930,likely IS/TE,41,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,42,Donor & PostFMT Only
ERMX,gene:plasmid:14929,likely IS/TE,42,Donor & PostFMT Only
ERMX,gene:plasmid:14930,likely IS/TE,42,Donor & PostFMT Only
ERMX,gene:plasmid:14930,likely IS/TE,43,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,44,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,45,Donor & PostFMT Only
MEFE,gene:plasmid:141426,plasmid,45,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,46,Donor & PostFMT Only
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,ICE,46,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,48,Donor & PostFMT Only
ASR,gene:proph:183581,prophage,55,Donor & PostFMT Only
COPA,gene:plasmid:88435,plasmid,55,Donor & PostFMT Only
COPA,gene:plasmid:88436,plasmid,55,Donor & PostFMT Only
COPA,gene:plasmid:88437,plasmid,55,Donor & PostFMT Only
COPA,gene:proph:179486,prophage,55,Donor & PostFMT Only
COPA,gene:proph:181087,prophage,55,Donor & PostFMT Only
COPA,gene:proph:181113,prophage,55,Donor & PostFMT Only
COPA,gene:vir:4533,virus,55,Donor & PostFMT Only
COPA,gene:vir:4534,virus,55,Donor & PostFMT Only
COPA,gene:vir:4536,virus,55,Donor & PostFMT Only
COPA,gene:vir:4537,virus,55,Donor & PostFMT Only
COPA,gene:vir:4547,virus,55,Donor & PostFMT Only
CORA,gene:plasmid:24561,plasmid,55,Donor & PostFMT Only
DNAK,gene:plasmid:158140,plasmid,55,Donor & PostFMT Only
DSBC,gene:plasmid:123177,likely IS/TE,55,Donor & PostFMT Only
DSBC,gene:plasmid:151300,likely IS/TE,55,Donor & PostFMT Only
EMRD,gene:proph:179438,prophage,55,Donor & PostFMT Only
FECD,gene:plasmid:114202,likely IS/TE,55,Donor & PostFMT Only
FECD,gene:plasmid:142025,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:121923,likely IS/TE,55,Donor & PostFMT Only
